year,pillar,primary_questions,share
2003,Animal Physiology,7,0.2
2003,Ecology/Behavior,6,0.171
2003,Genetics/Evolution,5,0.143
2003,Microbiology/Pathogens,1,0.029
2003,Molecular/Cell,12,0.343
2003,Molecular/Methods,0,0.0
2003,Plant,3,0.086
2003,Unclassified,1,0.029
2004,Animal Physiology,12,0.24
2004,Ecology/Behavior,10,0.2
2004,Genetics/Evolution,4,0.08
2004,Microbiology/Pathogens,1,0.02
2004,Molecular/Cell,9,0.18
2004,Molecular/Methods,1,0.02
2004,Plant,10,0.2
2004,Unclassified,3,0.06
2005,Animal Physiology,8,0.16
2005,Ecology/Behavior,3,0.06
2005,Genetics/Evolution,15,0.3
2005,Microbiology/Pathogens,4,0.08
2005,Molecular/Cell,11,0.22
2005,Molecular/Methods,0,0.0
2005,Plant,5,0.1
2005,Unclassified,4,0.08
2006,Animal Physiology,12,0.24
2006,Ecology/Behavior,3,0.06
2006,Genetics/Evolution,6,0.12
2006,Microbiology/Pathogens,5,0.1
2006,Molecular/Cell,11,0.22
2006,Molecular/Methods,0,0.0
2006,Plant,5,0.1
2006,Unclassified,8,0.16
2007,Animal Physiology,11,0.22
2007,Ecology/Behavior,6,0.12
2007,Genetics/Evolution,9,0.18
2007,Microbiology/Pathogens,3,0.06
2007,Molecular/Cell,10,0.2
2007,Molecular/Methods,2,0.04
2007,Plant,5,0.1
2007,Unclassified,4,0.08
2008,Animal Physiology,13,0.26
2008,Ecology/Behavior,4,0.08
2008,Genetics/Evolution,10,0.2
2008,Microbiology/Pathogens,3,0.06
2008,Molecular/Cell,8,0.16
2008,Molecular/Methods,1,0.02
2008,Plant,5,0.1
2008,Unclassified,6,0.12
2009,Animal Physiology,13,0.26
2009,Ecology/Behavior,5,0.1
2009,Genetics/Evolution,10,0.2
2009,Microbiology/Pathogens,0,0.0
2009,Molecular/Cell,9,0.18
2009,Molecular/Methods,1,0.02
2009,Plant,4,0.08
2009,Unclassified,8,0.16
2010,Animal Physiology,8,0.16
2010,Ecology/Behavior,3,0.06
2010,Genetics/Evolution,11,0.22
2010,Microbiology/Pathogens,0,0.0
2010,Molecular/Cell,22,0.44
2010,Molecular/Methods,1,0.02
2010,Plant,3,0.06
2010,Unclassified,2,0.04
2011,Animal Physiology,13,0.26
2011,Ecology/Behavior,5,0.1
2011,Genetics/Evolution,6,0.12
2011,Microbiology/Pathogens,2,0.04
2011,Molecular/Cell,14,0.28
2011,Molecular/Methods,1,0.02
2011,Plant,5,0.1
2011,Unclassified,4,0.08
2012,Animal Physiology,18,0.36
2012,Ecology/Behavior,4,0.08
2012,Genetics/Evolution,8,0.16
2012,Microbiology/Pathogens,0,0.0
2012,Molecular/Cell,6,0.12
2012,Molecular/Methods,1,0.02
2012,Plant,7,0.14
2012,Unclassified,6,0.12
2013,Animal Physiology,12,0.24
2013,Ecology/Behavior,6,0.12
2013,Genetics/Evolution,4,0.08
2013,Microbiology/Pathogens,2,0.04
2013,Molecular/Cell,14,0.28
2013,Molecular/Methods,0,0.0
2013,Plant,5,0.1
2013,Unclassified,7,0.14
2014,Animal Physiology,14,0.28
2014,Ecology/Behavior,4,0.08
